1,Aburria jacutinga,jacutinga,"Spix, 1825",,1,1
2,Accipiter bicolor ,gavião-bombachinha-grande,"Vieillot, 1817",,2,1
3,Accipiter poliogaster ,tauató-pintado,"Temminck, 1824",,2,1
4,Accipiter striatus ,gaviãozinho,"Vieillot, 1808",,2,1
5,Accipiter superciliosus ,gavião-miudinho,"Linnaeus, 1766",,2,1
6,Actitis macularius ,maçarico-pintado,"Linnaeus, 1766",,3,1
7,Aegolius harrisii ,caburé-acanelado,"Cassin, 1849",,4,1
8,Agelaioides badius ,asa-de-telha,"Vieillot, 1819",,5,1
9,Agelasticus cyanopus ,carretão,"Vieillot, 1819",,6,1
10,Agelasticus thilius ,sargento,"Molina, 1782",,7,1
11,Agriornis murinus ,gauchinho,"Orbigny & Lafresnaye, 1837",,8,1
12,Alectrurus risora ,tesoura-do-campo,"Vieillot, 1824",,9,1
13,Alectrurus tricolor ,galito,"Vieillot, 1816",,9,1
14,Alopochelidon fucata ,andorinha-morena,"Temminck, 1822",,10,1
15,Amazilia fimbriata ,beija-flor-de-garganta-verde,"Gmelin, 1788",,11,1
16,Amazilia versicolor ,beija-flor-de-banda-branca,"Vieillot, 1818",,11,1
17,Amazona aestiva ,papagaio-verdadeiro,"Linnaeus, 1758",,12,1
18,Amazona pretrei,charão,"Temminck, 1830",,12,1
19,Amazona vinacea ,papagaio-de-peito-roxo,"Kuhl, 1820",,12,1
20,Amazonetta brasiliensis ,marreca-pé-vermelho,"Gmelin, 1789",,13,1
21,Amblyramphus holosericeus ,cardeal-do-banhado,"Scopoli, 1786",,14,1
22,Ammodramus humeralis ,tico-tico-do-campo,"Bosc, 1792",,15,1
23,Anabacerthia amaurotis ,limpa-folha-miúdo,"Temminck, 1823",,16,1
24,Anas bahamensis,marreca-toicinho,"Linnaeus, 1758",,17,1
25,Anas cyanoptera ,marreca-colorada,"Vieillot, 1816",,17,1
26,Anas discors ,marreca-de-asa-azul,"Linnaeus, 1766",,17,1
27,Anas flavirostris ,marreca-pardinha,"Vieillot, 1816",,17,1
28,Anas georgica ,marreca-parda,"Gmelin, 1789",,17,1
29,Anas platalea ,marreca-colhereira,"Vieillot, 1816",,17,1
30,Anas sibilatrix ,marreca-oveira,"Poeppig, 1829",,17,1
31,Anas versicolor ,marreca-cricri,"Vieillot, 1816",,17,1
32,Anhinga anhinga ,biguatinga,"Linnaeus, 1766",,18,1
33,Anodorhynchus glaucus ,arara-azul-pequena,"Vieillot, 1816",,19,1
34,Anous stolidus ,trinta-réis-escuro,"Linnaeus, 1758",,20,1
35,Anthracothorax nigricollis,beija-flor-de-veste-preta,"Vieillot, 1817",,21,1
36,Anthus correndera ,caminheiro-de-espora,"Vieillot, 1818",,22,1
37,Anthus furcatus ,caminheiro-de-unha-curta,"d'Orbigny & Lafresnaye, 1837",,22,1
38,Anthus hellmayri ,caminheiro-de-barriga-acanelada,"Hartert, 1909",,22,1
39,Anthus lutescens ,caminheiro-zumbidor,"Pucheran, 1855",,22,1
40,Anthus nattereri ,caminheiro-grande,"Sclater, 1878",,22,1
41,Antrostomus rufus ,joão-corta-pau,"Boddaert, 1783",,23,1
42,Antrostomus sericocaudatus ,bacurau-rabo-de-seda,"Cassin, 1849",,23,1
43,Anumbius annumbi,cochicho,"Vieillot, 1817",,24,1
44,Aphantochroa cirrochloris ,beija-flor-cinza,"Vieillot, 1818",,25,1
45,Aramides cajanea ,três-potes,"Statius Muller, 1776",,26,1
46,Aramides saracura,saracura-do-mato,"Spix, 1825",,26,1
47,Aramides ypecaha,saracuruçu,"Vieillot, 1819",,26,1
48,Aramus c,carão,"Linnaeus, 1766",,27,1
49,Aratinga leucophthalma,maracanã-malhada,"Statius Muller, 1776",,28,1
50,Ardea alba ,garça-branca-grande," Linnaeus, 1758",,29,1
51,Ardea cocoi ,garça-moura ou socó-grande,"Linnaeus, 1766",,29,1
52,Arenaria interpres ,vira-pedra,"Linnaeus, 1758",,30,1
53,Arremon semitorquatus ,tico-tico-do-mato,"Swainson, 1838",,31,1
54,Arundinicola leucocephala ,freirinha,"Linnaeus, 1764",,32,1
55,Asio clamator ,coruja-orelhuda,"Vieillot, 1808",,33,1
56,Asio flammeus ,mocho-dos-banhados,"Pontoppidan, 1763",,33,1
57,Asio stygius ,mocho-diabo,"Wagler, 1832",,33,1
58,Asthenes baeri ,lenheiro,"Berlepsch, 1906",,34,1
59,Asthenes hudsoni ,lenheiro-platino,"Sclater, 1874",,34,1
60,Asthenes pyrrholeuca,lenheiro-de-rabo-comprido,"Vieillot, 1817",,34,1
61,Athene cunicularia ,coruja-do-campo,"Molina, 1782",,35,1
62,Attila phoenicurus ,capitão-castanho,"Pelzeln, 1868",,36,1
63,Attila rufus ,capitão-de-saíra,"Vieillot, 1819",,37,1
64,Automolus leucophthalmus ,barranqueiro-de-olho-branco,"Wied, 1821",,38,1
65,Bartramia longicauda ,maçarico-do-campo,"Bechstein, 1812",,39,1
66,Baryphthengus ruficapillus ,juruva,"Vieillot, 1818",,40,1
67,Basileuterus culicivorus,pula-pula,"Deppe, 1830",,42,1
68,Basileuterus leucoblepharus ,pula-pula-assobiador,"Vieillot, 1817",,41,1
69,Batara cinerea,matracão,"Vieillot, 1819",,43,1
70,Botaurus pinnatus ,socó-boi-baio,"Wagler, 1829",,44,1
71,Brotogeris chiriri ,periquito-de-encontro-amarelo,"Vieillot, 1818",,45,1
72,Brotogeris tirica ,periquito-rico,"Gmelin, 1788",,45,1
73,Bubo virginianus ,jacurutu,"Gmelin, 1788",,46,1
74,Bubulcus ibis ,garça-vaqueira,"Linnaeus, 1758",,47,1
75,Busarellus nigricollis ,gavião-velho,"Latham, 1790",,48,1
76,Buteo brachyurus ,gavião-de-rabo-curto,"Vieillot, 1816",,49,1
77,Buteo swainsoni ,gavião-papa-gafanhoto,"Bonaparte, 1838",,49,1
78,Butorides striata ,socozinho,"Linnaeus, 1758",,50,1
79,Cacicus chrysopterus ,tecelão,"Vigors, 1825",,51,1
80,Cacicus haemorrhous ,guaxe,"Linnaeus, 1766",,51,1
81,Cairina moschata ,pato-do-mato,"Linnaeus, 1758",,52,1
82,Calidris alba ,maçarico-branco,"Pallas, 1764",,53,1
83,Calidris bairdii ,maçarico-de-bico-fino,"Coues, 1861",,53,1
84,Calidris canutus ,maçarico-de-papo-vermelho,"Linnaeus, 1758",,53,1
85,Calidris fuscicollis ,maçarico-de-sobre-branco,"Vieillot, 1819",,53,1
86,Calidris himantopus ,maçarico-pernilongo,"Bonaparte, 1826",,53,1
87,Calidris melanotos ,maçarico-de-colete,"Vieillot, 1819",,53,1
88,Calidris minutilla,maçariquinho,"Vieillot, 1819",,53,1
89,Calidris pusilla ,maçarico-miúdo,"Linnaeus, 1766",,53,1
90,Calliphlox amethystina ,estrelinha,"Boddaert, 1783",,54,1
91,Callonetta leucophrys ,marreca-de-coleira,"Vieillot, 1816",,55,1
92,Campephilus leucopogon ,pica-pau-de-barriga-preta,"Valenciennes, 1826",,56,1
93,Campephilus robustus,pica-pau-rei,"Lichtenstein, 1818",,56,1
94,Camptostoma obsoletum ,risadinha,"Temminck, 1824",,57,1
95,Campylorhamphus falcularius ,arapaçu-de-bico-torto,"Vieillot, 1822",,58,1
96,Capsiempis flaveola,marianinha-amarela,"Lichtenstein, 1823",,59,1
97,Caracara plancus ,caracará,"Miller, 1777",,60,1
98,Carduelis carduelis,pintassilgo-europeu,"Linnaeus, 1758",,61,1
99,Cariama cristata ,seriema,"Linnaeus, 1766",,62,1
100,Carpornis cucullata ,corocoxó,"Swainson, 1821",,63,1
101,Cathartes aura ,urubu-de-cabeça-vermelha,"Linnaeus, 1758",,64,1
102,Cathartes burrovianus ,urubu-de-cabeça-amarela,"Cassin, 1845",,64,1
103,Celeus flavescens ,joão-velho,"Gmelin, 1788",,65,1
104,Certhiaxis cinnamomeus,curutié,"Gmelin, 1788",,66,1
105,Chaetura cinereiventris ,andorinhão-de-sobre-cinzento,"Sclater, 1862",,67,1
106,Chaetura meridionalis ,andorinhão-do-temporal,"Hellmayr, 1907",,67,1
107,Chamaeza campanisona ,tovaca-campainha,"Lichtenstein, 1823",,68,1
108,Chamaeza ruficauda ,tovaca-de-rabo-vermelho,"Cabanis & Heine, 1859",,68,1
109,Charadrius collaris ,batuíra-de-coleira,"Vieillot, 1818",,69,1
110,Charadrius falklandicus ,batuíra-de-coleira-dupla,"Latham, 1790",,69,1
111,Charadrius modestus ,batuíra-de-peito-avermelhado,"Lichtenstein, 1823",,69,1
112,Charadrius semipalmatus ,batuíra-norte-americana,"Bonaparte, 1825",,70,1
113,Chauna torquata,tachã,"Oken, 1816",,71,1
114,Chionis albus ,pomba-antártica,"Gmelin, 1789",,72,1
115,Chiroxiphia caudata ,dançador,"Shaw & Nodder, 1793",,73,1
116,Chlidonias leucopterus ,trinta-réis-negro-de-asa-branca,"Temminck, 1815",,74,1
117,Chlidonias niger ,trinta-réis-negro,"Linnaeus, 1758",,74,1
118,Chloris chloris,verdelhão,"Linnaeus, 1758",,75,1
119,Chloroceryle amazona ,martim-pescador-verde,"Latham, 1790",,77,1
120,Chloroceryle americana ,martim-pescador-pequeno,"Gmelin, 1788",,76,1
121,Chlorophonia cyanea ,bandeirinha ou bonito-do-campo,"Thunberg, 1822",,78,1
122,Chlorostilbon lucidus ,besourinho-de-bico-vermelho,"Shaw, 1812",,79,1
123,Chondrohierax uncinatus ,caracoleiro,"Temminck, 1822",,80,1
124,Chordeiles minor ,bacurau-norte-americano,"Forster, 1771",,81,1
125,Chordeiles nacunda ,corucão,"Vieillot, 1817",,81,1
126,Chordeiles pusillus ,bacurauzinho,"Gould, 1861",,81,1
127,Chroicocephalus cirrocephalus ,gaivota-de-cabeça-cinza,"Vieillot, 1818",,83,1
128,Chroicocephalus maculipennis ,gaivota-maria-velha,"Lichtenstein, 1823",,82,1
129,Chrysomus ruficapillus ,garibaldi,"Vieillot, 1819",,84,1
130,Cichlocolaptes leucophrus ,trepador-sobrancelha,"Jardine & Selby, 1830",,85,1
131,Ciconia maguari ,joão-grande,"Gmelin, 1789",,86,1
132,Cinclodes fuscus ,pedreiro-dos-andes,"Vieillot, 1818",,87,1
133,Cinclodes pabsti ,teresinha ou pedreiro,"Sick, 1969",,87,1
134,Circus buffoni ,gavião-do-banhado,"Gmelin, 1788",,88,1
135,Circus cinereus,gavião-cinza," Vieillot, 1816",,89,1
136,Cissopis leverianus ,tiê-tinga,"Gmelin, 1788",,90,1
137,Cistothorus platensis ,corruíra-do-campo,"Latham, 1790",,91,1
138,Claravis pretiosa ,rola-azul,"Ferrari-Perez, 1886",,92,1
139,Clibanornis dendrocolaptoides ,cisqueiro,"Pelzeln, 1859",,93,1
140,Clytolaema rubricauda ,beija-flor-papo-de-fogo,"Boddaert, 1783",,94,1
141,Cnemotriccus fuscatus ,guaracavuçu,"Wied, 1831",,95,1
142,Coccyzus americanus ,papa-lagarta-norte-americano,"Linnaeus, 1758",,96,1
143,Coccyzus euleri ,papa-lagarta-de-euler,"Cabanis, 1873",,97,1
144,Coccyzus melacoryphus ,papa-lagarta-verdadeiro,"Vieillot, 1817",,96,1
145,Coereba flaveola ,cambacica,"Linnaeus, 1758",,98,1
146,Colaptes campestris,pica-pau-do-campo,"Vieillot, 1818",,99,1
147,Colaptes melanochloros ,pica-pau-verde-barrado,"Gmelin, 1788",,99,1
148,Colibri serrirostris ,beija-flor-de-orelha-violeta,"Vieillot, 1816",,100,1
149,Colonia colonus ,viuvinha,"Vieillot, 1818",,101,1
150,Columba livia ,pombo-doméstico,"Gmelin, 1789",,102,1
151,Columbina picui ,rolinha-picuí,"Temminck, 1813",,103,1
152,Columbina squammata ,fogo-apagou,"Lesson, 1831",,103,1
153,Columbina talpacoti,rolinha-roxa,"Temminck, 1811",,103,1
154,Conirostrum speciosum ,figuinha-de-rabo-castanho,"Temminck, 1824",,104,1
155,Conopophaga lineata ,chupa-dente,"Wied, 1831",,105,1
156,Contopus cinereus,papa-moscas-cinzento,"Spix, 1825",,106,1
157,Coragyps atratus ,urubu-de-cabeça-preta,"Bechstein, 1793",,107,1
158,Coryphistera alaudina ,corredor-crestudo,"Burmeister, 1860",,108,1
159,Corythopis delalandi ,estalador,"Lesson, 1830",,109,1
160,Coscoroba coscoroba ,capororoca,"Molina, 1782",,110,1
161,Coturnicops notatus,pinto-d'água-pintalgado,"Gould, 1841",,111,1
162,Cranioleuca obsoleta ,arredio-oliváceo,"Reichenbach, 1853",,112,1
163,Cranioleuca pyrrhophia,arredio,"Vieillot, 1818",,112,1
164,Cranioleuca sulphurifera,arredio-de-papo-manchado,"Burmeister, 1869",,112,1
165,Crotophaga ani ,anu-preto,"Linnaeus, 1758",,113,1
166,Crotophaga major ,anu-coroca,"Gmelin, 1788",,113,1
167,Crypturellus noctivagus ,jaó-do-litoral,"Wied, 1820",,115,1
168,Crypturellus obsoletus ,inambuguaçu,"Temminck, 1815",,115,1
169,Crypturellus parvirostris ,inambuxororó,"Wagler, 1827",,114,1
170,Crypturellus tataupa,inambuxintã,"Temminck, 1815",,114,1
171,Culicivora caudacuta ,papa-moscas-do-campo,"Vieillot, 1818",,116,1
172,Cyanocorax caeruleus ,gralha-azul,"Vieillot, 1818",,117,1
173,Cyanocorax chrysops ,gralha-picaça,"Vieillot, 1818",,117,1
174,Cyanoloxia brissonii ,azulão,"Lichtenstein, 1823",,118,1
175,Cyanoloxia glaucocaerulea ,azulinho,"d'Orbigny & Lafresnaye, 1837",,118,1
176,Cyanoloxia moesta ,negrinho-do-mato,"Hartlaub, 1853",,118,1
177,Cyclarhis gujanensis ,gente-de-fora-vem ou pitiguari,"Gmelin, 1789",,119,1
178,Cygnus melancoryphus ,cisne-de-pescoço-preto,"Molina, 1782",,120,1
179,Cypseloides fumigatus,andorinhão-preto-da-cascata,"Streubel, 1848",,121,1
180,Cypseloides senex,andorinhão-velho-da-cascata,"Temminck, 1826",,121,1
181,Dacnis cayana ,saí-azul,"Linnaeus, 1766",,122,1
182,Dendrocincla turdina ,arapaçu-liso,"Lichtenstein, 1820",,123,1
183,Dendrocolaptes platyrostris,arapaçu-grande," Spix, 1825",,124,1
184,Dendrocygna autumnalis ,marreca-asa-branca,"Linnaeus, 1758",,125,1
185,Dendrocygna bicolor,marreca-caneleira,"Vieillot, 1816",,125,1
186,Dendrocygna viduata ,marreca-piadeira ou irerê,"Linnaeus, 1766",,125,1
187,Diuca diuca ,diuca,"Molina, 1782",,126,1
188,Dolichonyx oryzivorus,triste-pia,"Linnaeus, 1758",,127,1
189,Donacospiza albifrons ,tico-tico-do-banhado,"Vieillot, 1817",,128,1
190,Dromococcyx pavoninus ,peixe-frito-pavonino,"Pelzeln, 1870",,129,1
191,Dromococcyx phasianellus ,peixe-frito-verdadeiro,"Spix, 1824",,129,1
192,Drymophila malura ,choquinha-carijó,"Temminck, 1825",,130,1
193,Drymophila rubricollis ,trovoada-de-bertoni,"Bertoni, 1901",,131,1
194,Drymornis bridgesii ,arapaçu-do-espinilho,"Eyton, 1850",,132,1
195,Dryocopus galeatus,pica-pau-de-cara-amarela,"Temminck, 1822",,133,1
196,Dryocopus lineatus ,pica-pau-de-banda-branca,"Linnaeus, 1766",,56,1
197,Dysithamnus mentalis ,choquinha-lisa,"Temminck, 1823",,134,1
198,Egretta caerulea,garça-azul,"Linnaeus, 1758",,135,1
199,Egretta thula ,garça-branca-pequena,"Molina, 1782",,136,1
200,Elaenia chilensis ,guaracava-de-crista-branca,"Hellmayr, 1927",,137,1
201,Elaenia flavogaster ,guaracava-de-barriga-amarela,"Thunberg, 1822",,137,1
202,Elaenia mesoleuca ,tuque,"Deppe, 1830",,137,1
203,Elaenia obscura,tucão,"d'Orbigny & Lafresnaye, 1837",,137,1
204,Elaenia parvirostris ,guaracava-de-bico-curto,"Pelzeln, 1868",,137,1
205,Elaenia spectabilis ,guaracava-grande,"Pelzeln, 1868",,137,1
206,Elanoides forficatus ,gavião-tesoura,"Linnaeus, 1758",,138,1
207,Elanus leucurus ,gavião-peneira,"Vieillot, 1818",,139,1
208,Eleoscytalopus indigoticus,macuquinho,"Wied, 1831",,140,1
209,Emberizoides herbicola ,canário-do-campo,"Vieillot, 1817",,141,1
210,Emberizoides ypiranganus ,canário-do-brejo,"Ihering & Ihering, 1907",,141,1
211,Embernagra platensis ,sabiá-do-banhado,"Gmelin, 1789",,141,1
212,Empidonomus varius ,peitica,"Vieillot, 1818",,142,1
213,Estrilda astrild ,bico-de-lacre,"Linnaeus, 1758",,143,1
214,Eupetomena macroura ,beija-flor-tesoura,"Gmelin, 1788",,144,1
215,Euphonia chalybea ,cais-cais,"Mikan, 1825",,145,1
216,Euphonia chlorotica ,fim-fim,"Linnaeus, 1766",,145,1
217,Euphonia cyanocephala ,gaturamo-rei,"Vieillot, 1818",,145,1
218,Euphonia pectoralis ,gaturamo-serrador ou ferro-velho,"Latham, 1801",,145,1
219,Euphonia violacea ,gaturamo-verdadeiro,"Linnaeus, 1758",,145,1
220,Euscarthmus meloryphus ,barulhento,"Wied, 1831",,146,1
221,Falco deiroleucus ,falcão-de-peito-vermelho,"Temminck, 1825",,147,1
222,Falco femoralis ,falcão-de-coleira,"Temminck, 1822",,147,1
223,Falco peregrinus ,falcão-peregrino,"Tunstall, 1771",,147,1
224,Falco rufigularis ,falcão-de-garganta-branca,"Daudin, 1800",,147,1
225,Falco sparverius ,quiriquiri,"Linnaeus, 1758",,147,1
